product_name,brands,nutriscore_grade
Tomaten geschält,"Gut & Günstig,Edeka, Gut & Günstig, Gut & Günstig Edeka, Gut & Günstig",a
Muesli Bio Superfruits,Jordans,a
Porridge Oatflakes,Odlums,a
Family Pan Premium White Bread,Brennans,a
Wholemeal bread,Brennans,a
4 plain mini Naans,Patak's,a
2 Vegetarian Mozzarella Burgers,Linda McCartney,a
Smooth Peanut Butter imp,Meridian,a
"Zagori, Eau Eau De Source Naturelle 1 L",,a
Al Wadi Al Akhdar Baba Ghannouge,Al Wadi,a
Fusilli,Bunalun,a
Celtic Pure Irish Spring Water,,a
Zespri Sun Gold - Kiwifruit,Zespri,a
"Mais, Süssmais",Naturaplan,a
Millet doré,Coop Naturaplan,a
Braune Linsen,coop naturaplan,a
Flocons d'épeautre bio,"Coop Naturaplan,Naturaplan,Coop",a
Son d'avoine : riche en fibres alimentaires,Naturaplan,a
Artischockenherzen,Coop,a
Riz pour risotto,Coop naturaplan,a
Maïs pour Popcorn,COOP NATURAPLAN,a
Pain Aux Graines De Tournesol Coop Naturaplan,"Coop Naturaplan, Coop",a
Pommes rissolées,coop,a
4 Oeufs Pique-Nique,"Naturaplan,Coop,Coop Naturaplan",a
"Séré maigre nature, sans lactose",Coop,a
Jogurt nature partiellement écrémé,Coop Prix Garantie,a
Séré bio 1/2 gras,COOP naturaplan,a
Amandes entières émondées,Coop,a
Noix de pecan,coop,a
Tranches d'ananas,"Prix Garantie,Coop",a
Weizenkeime,COOP,a
Bio Gartengemüse,Naturaplan,a
Steinpilze,"Coop, Qualité & Prix",a
Coop Naturaplan Bio Thymian,"Coop Naturaplan,Coop",a
Riz complet noir,Coop Fine Food,a
Pain Complet Bio,"Naturaplan,Coop",a
Gazpacho,Coop Betty Bossi,a
Biscuits miel-amandes aux céréales complètes,Jamadu,a
Thon rosé,Coop,a
Qualité & Prix - Thon rosé,"COOP, Coop Qualité & Prix, Coop Qualité & Prix, Coop Qualité & Prix, Coop Qualité & Prix",a
Ananas,Coop,a
Galettes de riz salées,"Coop Qualité & Prix, Coop Qualité & Prix",a
Quinoa tricolore,"Coop,Coop naturaplan",a
Chapeaux de morilles,Naturaplan,a
Fraises,Coop,a
Bio Bircher Müesli,"Naturaplan,Coop,Familia",a
Müesli mit Beeren,"Coop naturaplan,Naturaplan",a
Falafel,"Karma,Coop",a
Guacamole Avocado Dip,Karma,a
Süssmais,Coop Naturaplan Bio,a
Lasagnes aux légumes,Betty Bossi,a
Granatapfel graine  de grenade,Coop,a
Mangue,"Maxima, Coop Betty bossi",a
Golden Sweet Ananas 160g,"Betty Bossi,Coop",a
Cœurs De Palmier,Majestic,a
Rosé Thon Raimond Frères,"Raimond frères, Raimond frères",a
Galettes de riz,Majestic,a
Yogourt Nature,M-Budget,a
Halbfett Quark,Migros,a
Spaghettini,M-CLASSIC,a
Tipo M Schnäggli,"Migros,M-Classic",a
Spaghetti,M-CLASSIC,a
Müschelli,"M Classic,Migros",a
Cornettes Fines avec des Œufs,"Migros Bio,Migros",a
Tagliatelle UrDinkel,"Terrasuisse,Migros",a
Toast complet intégrale,OLIVER'S TOAST,a
Tostbrot Soleil,M-Classic,a
Penne,M-CLASIC,a
Fusilli,M Classic,a
Purea di mela Compote de pommes,MIGROS BIO,a
Petits pois et carottes,"M-Classic,Migros",a
Champignons de Paris,"Migros, M Classic",a
Weisse Bohnen,"M-Classic, Dosen, Konserven",a
Bohnen Kidney - M-Classic,"Migros,M-Classic, M, , Migros: M-Classic, MClassic",a
Chili con Carne,M Classic,a
Lasagnes Aux Oeufs N °112,"De Cecco, De cecco",a
Tomatensoße,"Cirio, Conserve Italia",a
Les Monoportions Sauce Tomate Classica,"Cirio, Conserve Italia",a
Basilico Pasta sauce,"Cirio, Conserve Italia",a
Pasta Per Lasagne x 6 feuilles,"Giovanni Rana,Rana",a
Fettuccini,Rana,a
I ceci,La Fiammante,a
McCain la frite belge,McCain,a
Tesco Tuna Chunks In Brine 3 Packs X,Tesco,a
Fior di Passata,"La fabbrica dei pomodori,Gragnano",a
Compote pomme-ananas-passion,Andros,a
0% Exotik,Hirz,a
Compote pomme,Andros,a
Červená čočka loupaná,Nature's Promise,a
Protein Porridge,"Karma,Coop",a
Noix de pécan,Coop naturaplan,a
Rosenkohl,"Qualité & Prix,Coop, Qualité & Prix, Qualité & Prix",a
McCambridge Gluten Free Soda Bread,McCambridge,a
Nusskernmischung,Gut & Günstig,a
Mung Dal,TRS,a
Quorn Crispy Fillets 2 Pack,Quorn,a
Oberschwäbische Land-nudeln,,a
Super Nutty Granola,Tesco Finest,a
Salade Russe,M Classic,a
Flocons de bollets prix garantie,"Coop,prix garantie",a
Cashew drink,"Karma,Coop",a
Bio Penne Rigate Vollkorn,Natur aktiv,a
Orecchiette,Pasta di Stigliano,a
Cannelloni,,a
SUN FLOWER HACK,sunflower family,a
Organic Italian Chopped Tomatoes,Tesco,a
Quinoa,Tesco,a
IP-SUISSE QUINOA,"",a
flocons d'avoine complète,Netto,a
Champignon émincé épais sans sulfite,Bonduelle,a
Red kidney beans,,a
Skyr Stracciatella,"Isey,Ísey",a
Skyr Nature,Yoplait,a
GARDEN GOURMET Le Classique Soja et Blé Format familial 300g,"Herta, Nestle, Garden gourmet",a
"Café grain Costa Rica, Finca Paritilla",Bourbon d' Arsel,a
Epinards hachés à la crème,Findus,a
Riskager med havsalt,REMA 1000,a
Grains de maïs,"Migros Bio,Migros",a
Pineapple slices,S & W Fine Food,a
Sprouted Wheat Bread The Big 16,Silver Hills Sprouted Bakery,a
Extra Firm Tofu,"Soyganic • Sunrise Soya Foods, Soyganic",a
Love Crunch Dark Chocolate & Peanut Butter Granola,Nature's Path,a
"Mesa Sunrise Cereal, Organic",Nature's Path Foods,a
Mandorle intere,"Belbake, 10 x Aldi 08.24 / 6x Aldi 11.23, 10 x Aldi 08.24 / 2x Aldi 11.23, 10 x Aldi 08.24, 6 x Aldi 11.24/ 8x Aldi 08.24, 6 x Aldi 11.24/ 6x Aldi 08.24, 6 x Aldi 11.24/ 4x Aldi 08.24, 4 x Aldi 11.24/ 4x Aldi 08.24, 4 x Aldi 11.24/ 2x Aldi 08.24, 4 x Aldi 11.24, 0 x Aldi 11.24, 2 x Aldi 11.24",a
Poêlée parisienne,"Freshona,Lidl",a
Tvaroh jemný hrudkovitý,Pilos,a
Parsakaali,Freshona,a
Morilles extra séchées,Le Montagnard,a
CousCous,Al badia,a
Avoine Bio de France,Alpina savoie,a
Perle Bio de France,"Alpina,Alpina Savoie",a
Polenta Express Grains Moyens,Alpina Savoie,a
Fromage frais onctueux,Maîtres Laitiers,a
Fromage Frais Onctueux,Campagne De France,a
Torsades 3 couleurs au Riz Complet,La vie claire,a
Guyader Les Rillettes Marines Thon,Guyader,a
Eau minérale naturelle,Celtic,a
Muesli aux fruits 1kg,Terres & Céréales Bio,a
Haricots verts Extra-fins,Carrefour,a
Torsades complètes,"Bio Village,Marque Repère",a
Brocolis surgelé bio,"Bio Village,Marque Repère",a
Kiwis,"Bio Village,Marque Repère",a
Gaspacho original Bio,Green Shoot,a
Sauerkonserve Rote Bete Kugeln,"Kühne, Kühne, Kühne",a
Knäckebrot Sesam,Burger,a
Freche Freunde Frühstücks sternchen Bana &van 125 G,Erdbär,a
Fit Bread,nu3,a
Low Carb Spaghetti,Nu3,a
Beurre de cacahuète onctueux,Nu3,a
Shape shake,Foodspring,a
Like Chicken,Like Meat,a
HEJ PROTEIN BAR,Hej,a
Tomatensuppe Bio,Little Lunch,a
Junge Erbsen mit Möhrechen   Kaufland,K classic,a
Tagliatelle Pasta,Tesco,a
Weetabix,Weetabix,a
Suprême Muesli,Jordans,a
Original Relish,Ballymaloe Foods,a
Organic Porridge Oats,Flahavan’s,a
Quick Oats Original,Flahavan's,a
Quick oats strawberry,Flahavan's,a
Toastie,Johnston Mooney & O’Brien,a
Total 0%,Fage,a
Fage Total 0% Greek Yogurt Split Pot Forest Fruits,Fage,a
Greek Gigantes Beans,Paliria,a
"Hirz Magerjoghurt mit Früchten, Getreide, Fructose und Süssstoffen","Nestlé, Nestlé",a
Hausmachernudeln - Extra breit,M-CLASSIC,a
Becs de Plume,"M-Budget,Migros, Migros Budget",a
5-Eier Spiraloni,"Migros,M Classic",a
Cornettes à l'épeautre,"Terrasuisse,migros",a
Pastilles pour la gorge Cassis,Migros,a
Cassis Halspastillen,Migros,a
Cassis pastille pour la gorge,Migros,a
Salbisan Pastilles Pour La Gorge au goût de sauge,,a
Pastille pour la gorge (goût sauge),Migros,a
Farine fleur BIO (500 g),Migros bio,a
Birchermüesli Reddy Nature,Migros Bio,a
Nectaflor marrons prêts a manger,nectaflor,a
Mandeln,M-Classic,a
Risotto Reis,M-Classic,a
"Reis, Carolina",M Classic,a
Migros Schweizer Eier,M Classic,a
ratatouille,"M-Classic,Migros",a
Kichererbsen,"M-Classic,Migros",a
Espresso Plein de tempérament et corsé,M Classic,a
Flocons de millet,Migros Bio,a
Mini-Reis-Waffeln,"M-Classic,Migros",a
Terrasuisse Vollkornmehl,Terrasuisse,a
Amandes effilées,"M Classic,Migros",a
Haushaltmehl,"M BUDGET, Migros BUDGET",a
Haferflocken,Migros,a
Noisettes entières,"Migros Bio,Migros",a
Oeufs bio élevage en plein air,Migros Bio,a
Graines de courge,Migros Bio,a
Café moulu,MIGROS BIO,a
Eau minérale avec CO2,"M-Budget, Migros Budget",a
Eau Minérale Naturelle : non gazéifiée,M Budget,a
Classic,aproz,a
Soja Tofu Provencale,Soja Line,a
Pazifik Wildlachsfilets MSC,Pelican,a
Babeurre acidulé nature,Migros,a
Henniez Bleue Naturelle 1.5 l,Henniez,a
Acqua minerale naturale,Henniez,a
Acqua minerale naturale,"Henniez, Nestlè",a
Acqua minerale naturale leggermente frizzante,"Henniez,Nestlé",a
Eau minérale naturelle gazéifiée,Arkina,a
Eau minérale naturelle non gazeuse,Arkina,a
"Arkina, Natürliches Mineralwasser","Po,Arkina",a
Pain aux noisettes migros,Migros Bio,a
Falafel,"Cornatur,Migros",a
Oeufs bio suisses,Migros Bio,a
Yogurt Greek Style Nature,"Oh!,Migros",a
Oh! Yogurt Greek Style Pêche-Maracuja,"Oh!,Migros",a
Petit pain du marché,M-Classic,a
Gazpacho andaluz,Anna's Best,a
Choucroute crue,M Classic,a
Pain protéiné,You,a
Oh! Yogurt Greek style,"Oh!,Migros",a
Bâtonnets croquants mode marine,Cornatur,a
Kale Burger,Migros Bio,a
Tofu nature,"Migros Bio,Migros",a
Yogurt greek style,Oh!,a
Leger yoghurt,Léger,a
Yaourt maigre avec fraises et édulcorants,leger,a
Joghurt léger,Léger,a
100 cal pêche grenade,You,a
Falafel aux epinards,Cornatur,a
"Skyr vanille, YOU",You,a
Icelandic style skyr strained non-fat yogurt raspberry,Migros,a
Power Salade - Lentilles,You,a
You Vanille,You,a
Skyr Myrtilles,"You,Migros",a
"Jasmin, Langkornreis",Migros,a
Früchtemüesli,"Migros Bio,Migros",a
Mit italienischer Basilikumsauce,Migros,a
Quinoa,"Migros,Aha!,Delica",a
Cerneaux de noix,"Migros Bio,Migros,Delica",a
MÉLANGE DE NOIX,SUN QUEEN,a
Quinoa Tricolore,"Migros, Gesund",a
Chia graines,"Migros Bio,Migros",a
Black tiger crevette,Pelican,a
Passata di pomodoro,Migros Bio,a
Gehackte Tomaten mit Tomatensaft,M Classic,a
Orge perlée,"Migros,M-Classic, MClassic",a
Filets de pangasius,Migros Bio,a
Luftige Weizen-Knusperscheibe,"Microc, Migros",a
Crunchy Fibre Müesli,"Farmer,Migros, Farmer Plus",a
Schweizer Vollkorn Haferflocken,M-CLASSIC,a
Fratelli Contorno Salsa Ciliegino 33cl,"Benvenuti In Sicilia, Contorno",a
Farfalle,Garofalo,a
088 Casarecce GR. 500,Garofalo,a
orecchiette,Garofalo,a
015 Fettucce GR. 500,Garofalo,a
Fusili,Garofalo,a
Fusillone,Garofalo,a
Haricots Borlotti,Cirio,a
Provvista Sugo,Cirio,a
"Pizzasauce, gewürzt",Cirio,a
Kikærter på dåse,Victoria,a
Risotto al Tartufo,"Casale fresco, Casale Paradiso, Al dente",a
Polpa di pomodoro,LaSelva,a
Yaourt fermier à la framboise,La ferme des 4 saisons,a
Vollkornharmonie Sandwich,Golden Toast,a
Premium Grade Rice,Nishiki,a
Schweizer Gemüsemischung,Migros,a
Womens Best Wheatgrass Powder,Women’s best,a
Riz basmati,"",a
Penne Rigate,Agnesi,a
Hummus randen,"Anna's Best,Migros",a
Native Guacamole,Montosa,a
Gemischte Brötchen,"Gut & Günstig,Edeka",a
Pain tessinois foncé bio,Bio,a
Scweizer Eier Regenbogen,Migros,a
Bran flakes,Dunnes Stores,a
Jogurt Nature 3.5% Milchfett Laktosefrei,Milfina,a
au lait entier yogourt framboise,Cremo,a
Matzos: Flame Baked Crackers,Rakusen's of Yorkshire,a
Innocent gaspacho,Innocent,a
Pom' Potes,"Materne,Pom' Potes",a
Mezza Zita tagliata,"De Cecco, De Cecco",a
Casareccia,Pasta Reggia,a
Pennoni Lisci,Garofalo,a
White Tiger Garnelen geschält,Sea Gold,a
Farine blanche d'épeautre,Priméal,a
Coulis tomates filière française herbes de Provence,Alpins Savoie,a
Stelline,Granoro,a
Jardiniere de legumes,M-Budget,a
100% Arabica classique Café moulu,Auchan,a
Cardon Lyonnais,Lunor,a
Erbsen & Möhren,Campo Verde,a
"",nu3,a
Champignons,Coop,a
Thunfisch-Steaks,SeaSide,a
Frites,"Auchan,Pouce",a
Mövenpick-Kaffeebohnen,"Mövenpick, Der Himmlische",a
Cornflakes,"Naturaplan,Coop, Frühstück",a
WW fizzy cola gums,"WW, Weight Watchers",a
Bio muesli,Transgourmet natura,a
Peanut Butter,Go on nutrition,a
Girolles,Carrefour,a
Julienne de légumes bio,Auchan Bio,a
Filet de Merlu 5 graines & céréales,L'assiette Bleue,a
Super Seeded Deli Rolls,M&S Eat Well,a
Young Spinach,M&S Food,a
Microwave basmati rice,Marks & Spencer,a
Flageolets Verts,"Ernte Krone,Aldi",a
Vollkorntoast,"Grafschafter, Lidl, Backländer",a
Drink,Milbona,a
"Vollmilch 3,5%, 3,5%",Milbona,a
Poires Conference,"Sans marque,Devos group",a
Egg Fusilli pasta,"chef select,Lidl",a
Skyr Nature,Milfina,a
Yogourt,Milfina,a
Pomme Banane,Andros,a
Compote de pommes morceaux,Andros,a
Compote pomme banane,Andros,a
Pomme morceaux sans sucre ajoute,Andros,a
Crosti,"Joseph Favrichon,Favrichon",a
Trompettes de la Mort séchées,Sabarot,a
L'Authentique Façon Bouchère 5% M.G.,Charal,a
Spirelli,Pural,a
Croq' soja à la provencale,Céréal Bio,a
Escargots  de Bourgogne,Bontout Sélection,a
Porc au caramel & riz parfumé,Fleury Michon,a
Maïs doux,"Jardin bio,Léa Nature",a
Riz long,Top budget,a
Graines à germer d'Alfalfa,Germline,a
Eau minérale Naturelle des Alpes,Thonon,a
5 Pains Libanais 250g,"la Boulangère ... pains du... monde, La boulangere",a
Marrons Entiers Cuits à la vapeur,,a
Fonds d'artichauts,Carrefour,a
Asperges vertes mini,Carrefour,a
Maïs,"Carrefour bio,Carrefour",a
Lait facile à digérer,"Délisse,Marque Repère",a
Boisson d'Avoine,"Nat & Vie,Marque Repère",a
Meli mélo gourmand,Tipiak,a
Quinoa gourmand,Tipiak,a
Tendres perles,Tipiak,a
Céréales de campagne,Tipiak,a
Compote pomme,Andros,a
Compote Aprikose 4X100G,Andros,a
Les compotes pocket,Andros,a
Pomme nature,Andros,a
Compote Pomme Banane,Andros,a
Compote de pomme,Andros,a
Fruit me up,ANDROS,a
Compote pomme,Andros,a
Dessert fruitier pomme abricot,Andros,a
Compote pomme fraise,Andros,a
Apfel Pomme Sans Sucres Ajoutés,Andros,a
Riz Thai Complet,Autour du riz,a
Croc' gourmands cacao,"Natine,Léa Nature",a
Kichererbsen Bio,"dmBio,dm Bio",a
Knusperbrot Buchweizen,Alnavit,a
Bio Super Porridge Kakao & Hanf,Alnavit,a
Bio vollkorn hefeflocken,Bioreal,a
Bananes,"FAIR TRADE Intermarché Selection,max havelaar",a
Bircher Müsli,MyMuesli,a
"Kickstartmüsli Woman Mymuesli, Fruchtig",my muesli,a
"Mymuesli, Superfruit",Mymuesli,a
"MyMuesli, Nussmüsli",Mymuesli,a
Oat Crunch Organic Granola,Body Matter,a
Glasnudeln | Glass Noodles,Mei Yang,a
Soya vanille,Provamel,a
Blueberry,Alpro,a
"Provamel Biologischer Sojadrink, Vanille 250ml",Provamel,a
Soja Blaubeere,Alpro,a
Galettes de riz,Lima,a
Galettes de riz fines au quinoa,Lima,a
CORN CAKES NATURAL,Lima,a
Mineralwasser Valser,Valser,a
Acqua minerale naturale,Valser,a
Silence,Valser,a
Mineral Eau minérale naturelle,Farmer,a
Cremo Vanille Stichfest,Cremo,a
Eau minerale naturelle ( Cristalp ),CRISTALP,a
Bio - Avocat,Migros,a
Clémentine,"Coop Qualité & Prix,Migros fresca",a
Budwig au germe de blé,Kousmine,a
Emincé,"Cornatur,Quorn",a
Quorn hot dog,"Cornatur,Migros",a
Quorn Steak Au Poivre - Cornatur - 200 G,"Cornatur,Migros",a
Petits pois et carotte fins,Coop,a
Champignons de Paris émincés,"Coop,Qualité & Prix, Qualité & Prix - Coop",a
CH-Eier,"Coop, Qualité & Prix",a
Haricots séchés,Coop,a
Weisse Bohnen an Tomatensauce,"Coop Qualité & Prix, Coop Qualité & Prix",a
Linsen an Sauce,Coop,a
Amandes entières,Coop,a
Tomaten gehackt,"Coop,Qualité & Prix,Coop Qualité & Prix, Tomaten",a
Séré demi-gras,Coop,a
Pastilles Cassis,Dr. Watson's,a
Süssmais,"Qualité & Prix,Coop, Qualité & Prix, Qualité & Prix",a
Flocons d'avoine,"Naturaplan,Coop",a
Épinards en branches,Coop Naturalplan,a
Boulgour,Coop naturaplan,a
Noisettes,"Naturaplan,coop naturaplan",a
Linsen,"Coop,Coop Naturaplan, naturaplan",a
Linsen rot,Naturaplan,a
Ceasar Salad Betty Bossi,Coop,a
Compote de pommes sucrée,naturaplan,a
Frites au four,Coop naturaplan,a
Pomodori Triturati (gehackte Tomaten),"Coop Naturaplan,naturaplan",a
Concentré de tomate bio,Coop Naturaplan,a
Erbsen fein,"M Classic, M-Classic - Bio",a
Mandeln,Sun Queen,a
Noisettes,"Sun Queen Delica,Sun Queen",a
Amandes,Migros Bio,a
Super mix,You,a
"",You,a
1001 night,You,a
Galettes de maïs,lilibiggs,a
"Active mix, amandes, graines de courge, pistaches & mange",You,a
Batonnets de colin de l'alaska,Pelican,a
Jamadu petit séré,Coop,a
Fusilli - Pâte alimentaire,Coop Prix Garantie,a
Burger de Froment et Soja,"Délicorn,Coop",a
Spaghettini,Coop,a
Porridge nature,"Naturaplan,Coop",a
Porridge aux baies sans sucres ajoutés,"Naturaplan,Coop",a
Blanc Battu,coop,a
Magerjogurt yogourt écrémés,Coop,a
Séré maigre,Coop,a
Flocons de quinoa,Coop Naturaplan Bio,a
Blueberry chia Granola,"Coop,Karma",a
Vegi Soja Tofu nature,"Karma,Coop",a
"Bio Sojo Nature, Gezuckert","coop,Karma",a
Curry Bio Tofu mariniert mit Kokosnusscreme,"Karma,Betty Bossi",a
Quorn nuggets,"Delicorn,Coop",a
Coop Karma Buckwheat Fusilli,"Karma,Coop",a
Chickpea fusilli Kichererbsen,"Karma,Coop",a
Karma Red Lentil Fusilli,"Karma,Coop",a
Naturaplan - Physalis séchés,"Coop,Coop naturaplan",a
Bio chick pea,"Karma,Coop",a
Mélange de noix avec 5 sortes de noix,Coop,a
Mango,"Naturaplan, Coop naturaplan",a
Müesli aux fruits séchés,"free from, Coop",a
Crunchy Müesli,,a
Crispy Vegetable Burger,"Karma, Coop Betty Bossi",a
Dischi volanti,Coop naturaplan,a
jogurt nature sans lactose bio coop,"Coop,Free From",a
Protein Yogurt Berries,"Betty Bossi,Coop",a
Quinoa greets edamame,Karma,a
Vegetable Quinoa Salad,Karma,a
Smokey bean salad,"Karma,Coop",a
Pops & Flakes,"Coop,Naturaplan",a
Bircher Müesli sans raisins secs,"Naturaplan,Coop",a
Barre céréales Abricot,Qualité & Prix,a
Hummus,coop naturaplan,a
Mélange de Noix,"Naturaplan,Coop",a
Burgers de légumes,"Karma,Coop",a
Falafel,Karma,a
Snack mix bio,Coop,a
Bio Pumkin Burger,Karma,a
Escalope poivre et citron,"Délicorn,Coop",a
Graines de courge,Naturaplan,a
Quinoapops,Naturaplan,a
Salade Lentilles,"Betty Bossi,Naturaplan Bio",a
Bio Haferflöckli,naturaplan,a
Pain de seigle égrugé,Migros Bio,a
Pain de seigle complet,Migros,a
High protein fraise,Oh!,a
Hero Guete Morga,Hero,a
Grether's Pastilles Blackcurrant Zuckerfrei,Doetsch Grether AG,a
Aqua Frizzante,"Denner, Fonte Tavina",a
Acqua panna,acqua panna,a
Penne Rigate,Agnesi,a
Gli Spaghettini N.2 Fine Quality Pasta,Agnesi,a
Gli Sphaghetti N.3,AGNESI,a
Fusilli N. 78 - Pâtes alimentaires de qualité supérieure,Agnesi,a
Le Penne Ricce N.21,Agnesi,a
Basilico Fresco,Agnesi,a
